"年月","指数类别","组别类别","基数年","指数","权数"
"201505","CCPI","3","Index : October 2014 - September 2015 = 100",101.1,1.76
"201505","CCPI","4","Index : October 2014 - September 2015 = 100",100.1,1.18
"201505","CCPI","5","Index : October 2014 - September 2015 = 100",97.1,0.01
"201505","CCPI","6","Index : October 2014 - September 2015 = 100",98.6,0.41
"201505","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201505","CCPI","8","Index : October 2014 - September 2015 = 100",101.6,1.46
"201505","CCPI","9","Index : October 2014 - September 2015 = 100",99.8,0.06
"201505","CCPI","10","Index : October 2014 - September 2015 = 100",99.9,0.24
"201505","CCPI","11","Index : October 2014 - September 2015 = 100",96.3,1.48
"201505","CCPI","12","Index : October 2014 - September 2015 = 100",99.9,7.98
"201505","CCPI","99","Index : October 2014 - September 2015 = 100",99.7,100
