"年月","指数类别","组别类别","基数年","指数","权数"
"201409","CPIA","9","Index : October 2014 - September 2015 = 100",99.6,0.05
"201409","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201409","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201409","CPIA","6","Index : October 2014 - September 2015 = 100",100.6,0.61
"201409","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201409","CPIA","12","Index : October 2014 - September 2015 = 100",100.1,6.75
"201409","CPIA","3","Index : October 2014 - September 2015 = 100",96.7,0.56
"201409","CPIA","2","Index : October 2014 - September 2015 = 100",110.5,0.15
"201409","CPIA","1","Index : October 2014 - September 2015 = 100",99.5,0.22
"201410","CPIA","9","Index : October 2014 - September 2015 = 100",99.8,0.05
"201410","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201410","CPIA","7","Index : October 2014 - September 2015 = 100",99.8,0.27
"201410","CPIA","6","Index : October 2014 - September 2015 = 100",101,0.61
"201410","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201410","CPIA","4","Index : October 2014 - September 2015 = 100",100.3,1.83
"201410","CPIA","99","Index : October 2014 - September 2015 = 100",100.2,100
"201410","CPIA","2","Index : October 2014 - September 2015 = 100",108.8,0.15
"201410","CPIA","1","Index : October 2014 - September 2015 = 100",99.6,0.22
"201410","CPIA","10","Index : October 2014 - September 2015 = 100",99.6,0.13
"201410","CPIA","11","Index : October 2014 - September 2015 = 100",102.9,0.89
"201410","CPIA","12","Index : October 2014 - September 2015 = 100",100.1,6.75
"201410","CPIA","3","Index : October 2014 - September 2015 = 100",97.4,0.56
"201411","CPIA","99","Index : October 2014 - September 2015 = 100",100.5,100
"201411","CPIA","12","Index : October 2014 - September 2015 = 100",100,6.75
"201411","CPIA","11","Index : October 2014 - September 2015 = 100",102,0.89
"201411","CPIA","10","Index : October 2014 - September 2015 = 100",99.6,0.13
"201411","CPIA","9","Index : October 2014 - September 2015 = 100",99.8,0.05
"201411","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201411","CPIA","7","Index : October 2014 - September 2015 = 100",99.8,0.27
"201411","CPIA","4","Index : October 2014 - September 2015 = 100",100.3,1.83
"201411","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201411","CPIA","6","Index : October 2014 - September 2015 = 100",101.2,0.61
"201411","CPIA","3","Index : October 2014 - September 2015 = 100",97.4,0.56
"201411","CPIA","2","Index : October 2014 - September 2015 = 100",106.3,0.15
"201411","CPIA","1","Index : October 2014 - September 2015 = 100",99.9,0.22
"201412","CPIA","9","Index : October 2014 - September 2015 = 100",99.8,0.05
"201412","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201412","CPIA","7","Index : October 2014 - September 2015 = 100",99.8,0.27
"201412","CPIA","6","Index : October 2014 - September 2015 = 100",101.7,0.61
"201412","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201412","CPIA","4","Index : October 2014 - September 2015 = 100",100.4,1.83
"201412","CPIA","99","Index : October 2014 - September 2015 = 100",100.6,100
