"年月","关口","抵港或离港","人次"
"201511","STK","AV",129293
"201511","RTT","DB",9
"201511","MFT","AV",629441
"201511","LWT","AV",3472607
"201511","MFT","DB",789952
"201511","LMCSL","DB",2802013
"201511","STK","DB",121155
"201511","RTT","AV",25
"201511","AIR","DB",1890278
"201511","TMFT","AV",0
"201511","KTCT","AV",55808
"201511","CFT","DB",375638
"201511","TMFT","DB",0
"201511","SZB","AV",1573122
"201511","KTCT","DB",56001
"201511","MKT","DB",152060
"201511","LMCSL","AV",2639735
"201511","CFT","AV",299546
"201511","LMC","AV",1270982
"201511","HHS","DB",162550
"201511","MKT","AV",189940
